,name,fulladdr,municipality,agency,agencytype,phone,agencyurl,operhours,Instructions,status,drive_through,appt_only,referral_required,services_offered_onsite,call_first,virtual_screening,health_dept_url,State,county,type_of_test,facility_type
1556,Five Points Medical,"300 Mack Rd. Asheoro, NC",Asheboro,Five Points Medical,Private,336-625-1172,http://fpmedical.com/,"M-Th 8am-5pm, Fri and Sat 8am-12:30pm","Patients are required to call ahead and describe symptoms in order to determine if they are to be tested. Currently, the state’s guidelines restrict people with mild symptoms from being tested, therefore those who are mild are urged to stay home. Further instructions will be given after calling.",Open,No,Yes,Yes,testing only,Yes,Available,http://www.randolphcountync.gov/Departments/Public-Health,NC,Randolph,molecular,Clinic
1557,Horizon Internal Medicine of High Point,"1380 Eastchester Dr Suite 105 High Point, NC 27265",High Point,Horizon Internal Medicine,Private,336-610-1300,https://horizoninternalmedicine.com/covid-19-coronavirus-update/,M-F 8am-5pm,"Patients are required to call ahead and describe symptoms in order to determine if they are to be tested. Currently, the state’s guidelines restrict people with mild symptoms from being tested, therefore those who are mild are urged to stay home. Further instructions will be given after calling.",Open,No,Yes,Yes,testing only,Yes,Required,https://www.guilfordcountync.gov/our-county/human-services/health-department,NC,Guilford,molecular,Clinic
1558,First Health Convenient Care,"208 W. Salisbury St. Asheboro, NC 27203",Asheboro,First Health of the Carolinas,Regional,336-523-0040,https://www.firsthealth.org/lifestyle/news-events/2020/3/coronavirus-resources,Open daily 8am-8pm,"Patients are required to call ahead and describe symptoms in order to determine if they are to be tested. Currently, the state’s guidelines restrict people with mild symptoms from being tested, therefore those who are mild are urged to stay home. Further instructions will be given after calling.",Open,No,Yes,,testing only,Yes,Available,http://www.randolphcountync.gov/Departments/Public-Health,NC,Randolph,molecular,Urgent Care
1559,MERCE Urgent Care,"425 White Oak St. Asheboro, NC 27203",Asheboro,MERCE Family Healthcare,Non Profit,336-521-9458,https://www.mercefamilyhealthcare.com/covid19.html,M-F 7:45am-5:00pm,"If you have fever, cough or flu symptoms, please call our office for further instruction. If you are having extreme difficulty breathing call 911 or seek immediate assistance in the emergency room. Thank you for your continued support and understanding of MERCE Family Healthcare during these unprecedented times in our community.",Open,No,Yes,Yes,testing only,Yes,Available,http://www.randolphcountync.gov/Departments/Public-Health,NC,Randolph,molecular,Urgent Care
1560,DALE FELL COMMUNITY HEALTH CENTER,"7 McDowell St, Asheville, NC, 28801",Asheville,,Private,828-257-4745,https://www.amchc.org/,Monday-Friday | 7:30 am - 5:30,Call ahead before you go to AMCHC or the emergency room. Tell them about your recent travel and your symptoms.,Open,No,Yes,No,screening and testing,Yes,Available,https://www.ncdhhs.gov/,NC,Buncombe,molecular,Clinic
1561,LEICESTER COMMUNITY HEALTH CENTER,"711 New Leicester Hwy, Asheville, NC 28806",Asheville,AMCHC,,828-253-3717,https://www.amchc.org,Monday - Friday | 7:30 am - 5:30 pm,Call ahead before you go to AMCHC or the emergency room. Tell them about your recent travel and your symptoms.,Open,No,Yes,No,screening and testing,Yes,Available,https://www.ncdhhs.gov/,NC,Buncombe,molecular,Clinic
1562,MAY'S CARE CENTER,"225 Patton Ave, Asheville, NC, 28801",Asheville,Appalachian Mountain Community Health Centers,Private,828-412-5315,https://www.amchc.org,Monday | 9 am - 1 pm Wednesday | 1 - 5 pm Friday | 9 am - 2 pm,Call ahead before you go to AMCHC or the emergency room. Tell them about your recent travel and your symptoms.,Open,No,Yes,No,screening and testing,Yes,Available,https://www.ncdhhs.gov/,NC,Buncombe,molecular,Clinic
1621,New Hanover Regional Medical Center,"2131 S 17th St, Wilmington, NC 28401",New Hanover,,,(910) 667-7000,https://www.nhrmc.org/,24 Hours,,Open,No,Yes,Yes,testing only,Yes,No,https://www.nhrmc.org/,NC,New Hanover,molecular,Medical Center
1623,Novant Health Primary Health,"13 Medical Campus Dr., Supply, NC 28462",Brunswick County,,,877-499-1697,https://coronavirus.novanthealth.org/,Monday-Friday 8am-5pm,"Patients with a fever and cough plus moderate to severe symptoms, which include shortness of breath, difficulty breathing, chest discomfort, altered thinking or cyanosis, meet guidelines for testing. Patients considered high risk will be tested.",Open,Yes,Yes,No,screening and testing,Yes,Available,https://coronavirus.novanthealth.org/,NC,Brunswick,molecular,Clinic
1626,Dosher Urgent Care,"4222 Long Beach Road SE, Southport, NC 28461",Brunswick County,,,910-454-4732,http://www.dosher.org/,Monday - Friday 8am-4:30pm,Call ahead,Open,No,Yes,No,screening and testing,Yes,Available,https://www.ncdhhs.gov/,NC,Brunswick,molecular,Urgent Care
1629,Cherokee Indian Hospital,"1 Hospital Rd., Cherokee, NC 28719",Cherokee,Cherokee Indian Hospital,,828-497-3743,https://cherokeehospital.org/,9:00-4:00,,Open,Yes,Yes,Yes,testing only,Yes,,https://cherokee-phhs.com/,NC,Swain,molecular,Hospital
1655,Harris Regional Hospital,"68 Hospital Road, Sylva, NC 28779",Sylva,Duke LifePoint,Private,828-586-7000,https://www.myharrisregional.com/,,Must have a doctor's order.,Open,No,Yes,Yes,testing only,Yes,,http://health.jacksonnc.org/covid19,NC,Jackson,molecular,Hospital
1765,ZMax Dragway and Atrium Health,"6570 Bruton Smith Blvd, Concord, NC 28027",Concord,Atrium Health,,704-468-8888,https://atriumhealth.org/,,"Testing for COVID-19 is done based on guidelines set by the CDC, and only a healthcare provider can determine if you meet the criteria for testing. If a patient meets these criteria and needs to be tested, our Infection Prevention team will coordinate. If you believe you may have COVID-19, complete a free COVID-19 assessment to review your symptoms, find the best care and learn if testing is appropriate.",Open,Yes,Yes,No,screening and testing,Yes,Available,https://www.cabarrushealth.org/,NC,Cabarrus,molecular,Clinic
1766,Tryon Satellite Location Midtown,"900 East Morehead Street, Charlotte, NC","Charlotte, NC",Tryon Medical Partners,Private,704-495-6334,https://www.tryonmed.com/virtual-visit/,Mon-Fri 8am-5pm,"To access the remote testing locations, patients must have symptoms including fever, cough, or difficulty breathing and be pre-screened by phone or Virtual Urgent Care.",Open,No,Yes,Yes,screening and testing,Yes,Required,https://www.mecknc.gov/HealthDepartment/Pages/default.aspx,NC,Mecklenburg,molecular,Clinic
1767,Tryon Satellite Location Matthews,"630 Matthews Township Pkwy, Matthews, NC 28105",Matthews,Tryon Medical Partners,Private,704-495-6334,https://www.tryonmed.com/,Mon- Fri 8am-5pm,"Call Tryon Medical Partners or access Virtual Urgent Care to be evaluated for remote testing.
If remote testing is appropriate, you will be told to proceed to one of our remote testing locations to meet our dedicated team of Tryon Medical Partners doctors and staff.
Depending upon your symptoms, we may administer a flu test first; the results will be returned while you wait.
If the flu test is negative, a COVID-19 test may be administered, depending upon your symptoms, exposure risk",Open,No,Yes,Yes,screening and testing,Yes,Required,https://www.mecknc.gov/HealthDepartment/Pages/default.aspx,NC,Mecklenburg,molecular,Clinic
1829,"Madison County, NC","493 Medical Park Drive, Marshall, NC 28753",Marshall,Madison County,County,828-649-0755,https://www.madisoncountyhealth.org/,8am-8pm,"Please call 828-649-0755, 8am—8pm if you have any questions about the
following:
 COVID symptoms, treatment, or other related medical questions.
 Food, medicine, elderly care, or other individual support needs.
Medical staff and other Madison County personnel will be on hand to assist",Open,No,Yes,,screening and testing,Yes,,https://www.madisoncountyhealth.org/,NC,Madison,molecular,Non-medical Facility
1844,Columbus Regional Healthcare System,"500 Jefferson St, Whiteville, NC 28472",Columbus County,,,(910) 642-8011,http://www.crhealthcare.org/,24 hours,Get referral through provider and come to hospital for testing after calling ahead to confirm.,Open,No,Yes,Yes,testing only,Yes,Available,http://www.crhealthcare.org/,NC,Columbus,molecular,Clinic
1997,AdventHealth,"50 Hospital Drive, Hendersonville, NC 28792",Hendersonville,AdventHealth,,828-681-2300,https://www.adventhealth.com/coronavirus-resource-hub,9:30 am to 6 pm Monday - Friday,This is a resource for patients who have a referral for a test from an AdventHealth physician or who have been referred after calling the AdventHealth Triage Nurse Hotline at 828-681-2300.,Open,Yes,No,Yes,testing only,Yes,Available,https://www.ncdhhs.gov/,NC,Henderson,molecular,Clinic
1998,AdventHealth Centra Care Arden,"436 Airport Road, Arden, NC 28704",Arden,AdventHealth,Non Profit,828-650-7282,https://centracare.adventhealth.com/urgent-care/adventhealth-centra-care-arden,M-F: 9am-4pm,Call ahead for screening & appointment,Open,No,Yes,No,screening and testing,Yes,Available,https://www.ncdhhs.gov/,NC,Buncombe,molecular,Clinic
1999,UNC Asheville Campus,"3300 University Heights, Asheville, NC 28804",Asheville,Buncombe County Health and Human Services,County,,,"Normal clinic hours, open until 7pm each day",,Closed,Yes,Yes,Yes,screening and testing,Yes,,https://www.ncdhhs.gov/,NC,Buncombe,molecular,Non-medical Facility
2000,Biltmore Church - Arden Campus,"35 Clayton Rd, Arden, NC 28704",,Buncombe County Health and Human Services,County,,,M-F: 9am-5pm,,Closed,Yes,Yes,Yes,screening and testing,Yes,,https://www.ncdhhs.gov/,NC,Buncombe,molecular,Non-medical Facility
2017,Novant Health GoHealth Urgent Care - Thomasville,"1122 Randolph St Ste 110, Thomasville, NC 27360",Thomasville,Novant Health,Regional,336-481-0739,https://coronavirus.novanthealth.org/,"Mon-Fri, 8am-8pm / Weekends, 9am-5pm","Novant Health GoHealth Urgent Care locations are also open for screenings with online check-in, including on weekends.",Open,No,Yes,Yes,screening and testing,Yes,Available,https://www.co.davidson.nc.us/200/Health,NC,Davidson,molecular,Urgent Care
2018,Novant Health GoHealth Urgent Care - Lexington,"1977 Cotton Grove Rd, Lexington, NC 27292",Lexington,Novant Health,Regional,336-443-6041,https://coronavirus.novanthealth.org/,"Mon-Fri, 8am-8pm / Weekends, 9am-5pm","Novant Health GoHealth Urgent Care locations are also open for screenings with online check-in, including on weekends.",Open,No,Yes,Yes,screening and testing,Yes,Available,https://www.co.davidson.nc.us/200/Health,NC,Davidson,molecular,Urgent Care
2254,"BetterMed Charlotte, NC","1431 South Boulevard Charlotte, NC 28203","Charlotte, NC",,Private,704-709-117,https://www.bettermedcare.com/location/charlotte-nc,"7 days a week, 8 AM – 4 PM",,Open,Yes,Yes,,testing only,Yes,,https://www.mecknc.gov/HealthDepartment/Pages/default.aspx,NC,Mecklenburg,molecular,
2255,"Better Medcare Matthews, NC","2304 Matthews Township Pkwy Suite 104 Matthews, NC 28105","Matthews, NC",,Private,980-296-222,https://www.clockwisemd.com/hospitals/4347/appointments/new,"7 days a week, 8 AM – 4 PM",,Open,Yes,Yes,,testing only,Yes,,https://www.nc.gov/covid19,NC,Mecklenburg,molecular,
2676,Atrium Health Urgent Care,"5727 Prosperity Crossing Dr Suite 1100, Charlotte, NC 28269",Charlotte,Atrium Health,Private,704-468-8888,https://atriumhealth.org/about-us/coronavirus,Phone Assessment Review your symptoms with a healthcare professional by phone and get care recommendations. ​Available 24/7.  Nurse Video Assessment,"Testing for COVID-19 is done based on guidelines set by the CDC, and only a healthcare provider can determine if you meet the criteria for testing. If a patient meets these criteria and needs to be tested, our Infection Prevention team will coordinate. If you believe you may have COVID-19, complete a free COVID-19 assessment to review your symptoms, find the best care and learn if testing is appropriate.",Open,No,Yes,No,screening and testing,Yes,Available,https://www.mecknc.gov/HealthDepartment/Pages/default.aspx,NC,Mecklenburg,molecular,Urgent Care
2710,WakeMed North Hospital,"10000 Falls of Neuse Rd, Raleigh, NC 27614","Raleigh, NC",,Private,(919) 350-8000,https://www.wakemed.org/virtual-urgent-care,"24/7, no appointment is necessary.","WakeMed Virtual Urgent Care providers can evaluate COVID-19 risks, assess symptoms, and provide support by video to help patients find the most appropriate level of care while minimizing exposure for all. Consults are available on-demand 24/7, no appointment is necessary.",Open,No,Yes,No,screening and testing,Yes,Available,https://www.ncdhhs.gov/,NC,Wake,molecular,Hospital
2925,NextCare Urgent Care,"217 Glensford Dr Fayetteville, North Carolina 28314",Fayetteville,"NextCare Holdings, Inc",Private,910-483-4647,https://nextcare.com/curbside/,"Monday-Friday 8:00 am to 8:00 pm, Sat/Sun 8:00 am to 10:00 pm",We recommend all patients book a time online at www.nextcare.com to help reduce your wait time at the clinic. To access curbside care please contact the clinic prior to visiting.,Open,Yes,Yes,No,screening and testing,Yes,Available,https://www.ncdhhs.gov/divisions/public-health/covid19/covid-19-nc-case-count,NC,Cumberland,molecular and antibody,Urgent Care
3382,Kintegra Family Medicine’s Highland Health Center,"609 N. Highland St., Gastonia, NC 28052",Gastonia,Kintegra Health,Private,704-874-3316,https://www.gastongazette.com/news/20200510/free-covid-19-testing-ongoing-in-gastonia,Tuesdays only!,Free COVID-19 testing is made possible through Kintegra Health Gaston County DHHS. Call 704-874-3316 to schedule an appointment.,Open,Yes,Yes,No,screening and testing,Yes,No,https://www.gastongov.com/coronavirus/,NC,Gaston,molecular,
3383,Kintegra Health Mobile Testing Unit at Mt. Zion Restoration Church,"2311 Crescent Lane, Gastonia, NC",Gastonia,Kintegra Health,Private,704-874-3316,https://www.kintegra.org/wp-content/uploads/2020/04/COVID-Testing-Flyer.pdf,"Friday, May 1 from 10:00 a.m. to 2:00 p.m.",,Closed,,Yes,No,screening and testing,Yes,No,https://www.gastongov.com/coronavirus/,NC,Gaston,molecular,Mobile
3384,Kintegra Health Mobile Testing Unit at Gaston County Health Department,"991 W. Hudson Blvd., Gastonia, NC",Gastonia,Kintegra Health,Private,704-874-3316,https://www.gastongazette.com/news/20200510/free-covid-19-testing-ongoing-in-gastonia,Testing on Wensdedays only!,Free COVID-19 testing is made possible through Kintegra Health Gaston County DHHS. Call 704-874-3316 to schedule an appointment.,Open,,Yes,No,screening and testing,Yes,No,https://www.gastongov.com/coronavirus/,NC,Gaston,molecular,Mobile
3385,Kintegra Health Mobile Testing Unit at St. John’s Baptist Church,"1282 Bradford Heights Road, Gastonia, NC",Gastonia,Kintegra Health,Private,704-874-3316,https://www.kintegra.org/wp-content/uploads/2020/04/COVID-Testing-Flyer.pdf,"Monday, April 27 from 10:00 a.m. to 2:00 p.m.",,Closed,,Yes,No,screening and testing,Yes,,https://www.gastongov.com/coronavirus/,NC,Gaston,molecular,Mobile
3387,AFC Urgent Care,"1908 E Franklin Blvd Suite 100, Gastonia, NC 28054",Gastonia,AFC Urgent Care,Private,(704) 271-1215,https://afcurgentcaregastonianc.com/,"Monday-Friday, 8am-8pm, Saturday-Sunday, 8am-5pm","Upon arrival, patients are directed to the tent, where a staff member takes temperatures and pre-screens the patient.",Open,No,Yes,No,screening and testing,Yes,Available,https://www.gastongov.com/coronavirus/,NC,Gaston,molecular and antibody,Urgent Care
3406,Mercy Urgent Care East Asheville,"1272 Tunnel Rd, Asheville, NC 28805",Asheville,Mercy Urgent Care,Private,(828) 210-8325,https://mercyurgentcare.org/news/information-regarding-covid-19/,Mon.-Fri.: 9am-4pm Sat.-Sun.: 10am-4pm,"For assessment of symptoms and next-step direction, set up a virtual visit with a medical professional through Mercy’s telemedicine services: https://mercyurgentcare.org/telemedicine/ . Registering for a telemedicine or clinic visit does not guarantee testing will be performed. Patients coming to a Mercy Urgent Care clinic must call upon arrival in the parking lot to check in for a visit. To make a virtual appointment with a medical provider from home: https://www.solvhealth.com/book-online/gdQm",Open,No,Yes,No,screening and testing,Yes,Available,https://www.buncombecounty.org/Governing/Depts/health/Default.aspx,NC,Buncombe,molecular,Urgent Care
