X,Y,OBJECTID,GlobalID,EditDate,county,address,city,zipcode,startdate,hoursofoperation,notes,operator,POC,Email_Address,sitename,website,daysofoperation,publicphone,publicnotes,SiteUtilization,TurnAroundTime
-13117958.5924,4000380.3805,111,{34E16C38-1FD3-43BD-BCF2-32A20456537E},2020/07/10 16:24:14,Orange,1215 E Chapman Ave.,Orange,92866,2020/05/07 06:59:59,0800-2000,,OPTUMServe,Jessica Hodgeson,,OPTUMServe 1,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat.",(888) 634-1123,,91,116
-13496950.4934,4345128.741,112,{5A44D182-FA0B-4B63-9E47-166B58B49ACA},2020/07/10 16:24:15,Monterey,315 El Camino Real,Greenfield,93927,2020/05/05 06:59:59,0800-2000,,OPTUMServe,,,OPTUMServe 2,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,88,160
-13412153.7983,4479463.7842,114,{F6316928-F508-4482-948D-DE506927AAD6},2020/07/10 16:24:16,Merced,900 Martin Luther King Jr,Merced,95340,2020/04/30 06:59:59,0700-1900,,OPTUMServe,David Scheurich,david.scheurich@fire.ca.gov,OPTUMServe 1,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,95,163
-13514419.5346,4418173.6029,116,{F6148A35-C572-40F2-9EFD-4CBFC8B72799},2020/07/10 16:24:17,San Benito,649 San Benito St,Hollister,95023,2020/05/05 06:59:59,0800-2000,,OPTUMServe,Dr. May White,,OPTUMServe 1,https://lhi.care/covidtesting,"Sun, Mon, Tues, Wed, Thurs",(888) 634-1123,,91,165
-13576449.5422,4631896.2637,119,{EA5CC55A-136B-47E6-89EB-E815AF4C05E3},2020/07/10 16:24:19,Solano,1681 East Monte Vista Ave,Vacaville,95687,2020/05/04 06:59:59,0700-1900,,OPTUMServe,Denise Kirnig,,OPTUMServe 2,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,,
-13307911.1659,4398366.4772,154,{7842B5FA-B766-45D6-8A12-B835209C79FF},2020/07/10 16:24:20,Fresno,730 Recreation Avenue,Sanger,93657,2020/05/07 06:59:59,0700-1900,,OPTUMServe,Ruby Sauceda,,OPTUMServe 2,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,91,89
-13033762.4295,3847735.8724,162,{F9010D71-3213-4D99-A728-CD858980BE17},2020/07/10 16:24:25,San Diego,565 Broadway,Chula Vista,91910,2020/05/05 06:59:59,0700-1900,,OPTUMServe,Christopher Ward,,OPTUMServe 2,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,76,95
-13555573.5009,4427463.7232,166,{B4DB4E0D-8FDF-4138-BCFA-C2F0C6BDE401},2020/07/10 16:24:26,Santa Cruz,1301 Main Street,Watsonville,95076,2020/05/06 06:59:59,0700-1900,,OPTUMServe,Nick Calubaquib,,OPTUMServe 1,https://lhi.care/covidtesting,"Wed, Thurs, Fri, Sat, Sun",(888) 634-1123,,104,171
-13651618.5522,4617358.5919,168,{87FB3CCF-D787-456A-B853-A371CCA36B3F},2020/07/10 16:24:26,Sonoma,680 Sonoma Mountain Parkway,Petaluma,94954,2020/05/05 06:59:59,0700-1900,Petaluma Campus - Santa Rosa Jr College,OPTUMServe,Lisa Balente,,OPTUMServe 1,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,90,162
-13068779.6074,4027858.3079,173,{8C5911D8-9EA3-4AD6-81E8-ABD1BCDA996D},2020/07/10 16:24:28,Riverside,5293 Mission Blvd,Jurupa Valley,92509,2020/05/06 06:59:59,0700-1900,,OPTUMServe,Roger Weaver,,OPTUMServe 2,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,72,99
-12969651.9027,4022928.5445,174,{28AD4CED-F588-48DE-86A9-A4A47C0E317D},2020/07/10 16:24:28,Riverside,12-800 West Arroyo Dr,Desert Hot Springs,92240,2020/05/06 06:59:59,0700-1900,,OPTUMServe,Jim Henson,,OPTUMServe 3,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,80,89
-13022799.5557,4021697.4625,177,{33F2781E-BAC9-4B3C-843D-A4CBBE62C8DF},2020/07/10 16:24:30,Riverside,390 West Oak Valley Parkway,Beaumont,92223,2020/05/06 06:59:59,0700-1900,,OPTUMServe,Duane Burk,,OPTUMServe 6,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,91,94
-13082689.7843,4020167.2768,178,{F17B923B-AE8D-4F3C-A04F-93B12E7A598A},2020/07/10 16:24:30,Riverside,3737 Crest View Gate 3,Norco,92860,2020/05/06 06:59:59,0700-1900,Gate 3,OPTUMServe,Brian Petree,,OPTUMServe 7,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,90,98
-13612748.6115,4578346.3418,196,{2E28007E-8859-4407-B73C-DBB7DF5F534B},2020/07/10 16:24:32,Contra Costa,2935 Pinole Valley Road,Pinole,94564,2020/05/06 06:59:59,0700-1900,,OPTUMServe,Joshua Sullivan,Joshua.Sullivan@cchealth.org,OPTUMServe 2,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,92,165
-13600688.7714,4544592.4711,199,{1982FFAE-0DBE-40F7-B05E-82960588192D},2020/07/10 16:24:34,Alameda,8501 International Blvd,Oakland,94621,2020/05/16 06:59:59,1 PM - 7 PM,,Verily,Alexandria McBride,AMcBride@oaklandca.gov,"Oakland (Allen Temple), CA",https://www.projectbaseline.com/study/covid-19/,Mon - Sat,,,,
-13156760.5623,3999313.8307,201,{01C596BD-0DDE-43A6-80C9-9573E208804B},2020/07/10 16:24:34,Los Angeles,1060 Long Beach Blvd,Long Beach,90813,2020/04/27 14:00:00,8AM - 12PM,,Verily,Anissa Davis,Anissa.Davis@longbeach.gov,"Long Beach, CA",https://www.projectbaseline.com/study/covid-19/,Mon-Fri,,,,
-13167678.0019,4030340.645,202,{84083AF7-C3F0-4F98-AD6E-D82A78F61FED},2020/07/10 16:24:35,Los Angeles,3986 Hoover St,Los Angeles,90037,2020/05/04 14:00:00,9AM - 3PM,,Verily,Dr. Clay Kazan,Clayton.Kazan@fire.lacounty.gov,"Los Angeles (Exposition Park), CA",https://www.projectbaseline.com/study/covid-19/,"Thurs, Fri",,,,
-13564195.2353,4486961.0084,204,{F05B748E-7445-453D-9D26-5D5966F203DF},2020/07/10 16:24:35,Santa Clara,680 S 34th Street,San Jose,95116,2020/05/04 14:00:00,9AM - 3PM,,Verily,Walter Lin,walter.lin@sanjoseca.gov,"San Jose (PAL Stadium), CA",https://www.projectbaseline.com/study/covid-19/,Mon-Fri,,,,
-13155094.2277,4037136.3441,205,{935A754C-1DDB-46A7-B308-9D5DF40E80FD},2020/07/10 16:24:36,Los Angeles,1900 Paseo Rancho Castilla,Los Angeles,90032,2020/05/06 14:00:00,0700-1900,Biospace Building - Cal State,OPTUMServe,Lisa Chavez,,OPTUMServe 3,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,73,95
-13168375.7487,4006206.5491,206,{CA57527E-C6DC-4351-A683-3DB4FBB434C5},2020/07/10 16:24:36,Los Angeles,1000 West Carson Street - Bldg N-26,Torrance,90502,2020/05/11 06:59:59,0700-1900,Building N26 (K.I.D.S Hub Clinic),OPTUMServe,Azar Kattan,,OPTUMServe 4,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,79,89
-13173750.7015,4017592.7081,207,{1E6FB857-9EF2-436C-8C29-B9ECA1CB2863},2020/07/10 16:24:37,Los Angeles,3901 W El Segundo Blvd,Hawthorne,90250,2020/05/06 06:59:59,0700-1900,,OPTUMServe,Haidar Awad,,OPTUMServe 5,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,Site closing at 12pm on July 3rd.,68,88
-13186053.1151,4030452.3738,208,{5491822A-3A70-4D2D-81BD-F7E6D414F4A3},2020/07/10 16:24:37,Los Angeles,2800 Airport Ave,Santa Monica,90405,2020/05/07 06:59:59,0700-1900,,OPTUMServe,Don Girard,,OPTUMServe 6,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,97,84
-13173049.4892,4031814.0675,209,{CA22DEBD-3F18-4760-9514-0955B96BE4F6},2020/07/10 16:24:37,Los Angeles,3606 W Exposition Blvd,Los Angeles,90016,2020/05/11 06:59:59,0700-1900,,OPTUMServe,Veronica Lewis,,OPTUMServe 7,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,66,89
-13140626.8499,4035149.0298,210,{85977133-6172-4DBA-9B35-8F916EE81389},2020/07/10 16:24:38,Los Angeles,10408 Vacco Street,South El Monte,91733,2020/05/11 06:59:59,0700-1900,,OPTUMServe,Sergio Bautista,,OPTUMServe 8,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,80,78
-13228197.0281,4192174.4983,214,{CEA3A9BD-1595-4A48-A10D-3180DD600123},2020/07/10 16:24:39,Kern,204 S Hill,Arvin,93203,2020/05/12 06:59:59,0700-1900,,OPTUMServe,Jake Cagle,,OPTUMServe 9,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,76,83
-13328877.8229,4086494.9589,218,{C84F8C87-470F-48CE-BDFB-F9E01CF1A7FA},2020/07/10 16:24:40,Santa Barbara,3400 Calle Real,Santa Barbara,93105,2020/05/07 06:59:59,0700-1900,,OPTUMServe,Nick Clay,,OPTUMServe 9,https://lhi.care/covidtesting,"Thurs, Fri, Sat, Sun, Mon",(888) 634-1123,,84,101
-13239032.9953,4053161.243,222,{C3CC043C-387F-489C-BB58-6CFBCA61630D},2020/07/10 16:24:41,Ventura,2331 Borchard Rd,Newbury Park,91320,2020/05/11 05:00:00,0700-1900,,OPTUMServe,Patrick Maynard,,OPTUMServe 9,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,83,94
-13682680.096,4728176.0718,226,{7FC020D4-E174-4B7C-BACB-F6C9818318ED},2020/07/10 16:24:42,Lake,14 5th St,Lakeport,95453,2020/05/14 06:59:59,9 AM - 1 PM,,Verily,Carolyn Halladay,Carolyn.Holladay@lakecountyca.gov,"Lakeport, CA - Rotation",https://www.projectbaseline.com/study/covid-19/,Thurs - Fri,,,,
-13367221.0488,4435548.3136,231,{61CAD685-AF52-4B4B-8913-D4BEDA12D965},2020/07/10 16:24:44,Madera,1850 West Cleveland Ave,Madera,93637,,1700-1900,Van Allen Hall,OPTUMServe,Robin Siminoff,,OPTUMServe,https://lhi.care/covidtesting,"Mon, Tues, Wed, Fri, Sat",(888) 634-1123,,93,91
-13715735.756,4745362.9973,232,{4B131C4C-94EA-489F-ABE5-01E2357C0F57},2020/07/10 16:24:45,Mendocino,1055 N State Street,Ukiah,95482,2020/05/22 06:59:59,0700-1900,Carl Purdy Hall,OPTUMServe,Darcie Antle,,OPTUMServe,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,113,166
-13631330.2099,4541008.4747,233,{EFAA9DFB-3304-42AA-8BDF-4394B77410ED},2020/07/10 16:24:46,San Francisco,180 Frida Kahlo Way,San Francisco,94112,2020/05/18 06:59:59,0700-1900,,OPTUMServe,Mike Dougherty,,OPTUMServe,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,83,165
-13562163.7351,4490038.0347,234,{90AA49A6-E067-4E7D-9396-2FC38FFD8CB3},2020/07/10 16:24:46,Santa Clara,2955 Alum Rock Avenue,San Jose,95127,2020/05/11 06:59:59,0700-1900,,OPTUMServe,Abby Almerido,,OPTUMServe,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,88,165
-13536587.0469,4444501.686,238,{8B43D67D-B667-4C75-B66E-F1E0333957C3},2020/07/10 16:24:47,Santa Clara,850 Day Rd,Gilroy,95020,2020/05/06 06:59:59,0700-1900,,OPTUMServe,Abby Almerido,,OPTUMServe,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,87,170
-13416359.407,4586454.4546,240,{BD7FA43D-DC95-431C-BB33-AF28F8681393},2020/07/10 16:24:49,Calaveras,2465 Gun Club Road,Angels Camp,95222,2020/05/27 06:59:59,0800-1700,,OPTUMServe,Christopher Edgerly,,OPTUMServe,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,81,166
-13548122.4528,4568918.1323,241,{C5FD6824-9159-4C3D-B087-7D6377FEB82D},2020/07/10 16:24:49,Contra Costa,193 Griffith Ln,Brentwood,94513,2020/05/26 06:59:59,0700-1900,,OPTUMServe,Joshua Sullivan,Joshua.Sullivan@cchealth.org,OPTUMServe,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,86,180
-13335770.7908,4407009.7492,242,{3CE216C0-C24E-45E4-8EF6-142C2EDD23A8},2020/07/10 16:24:50,Fresno,2100 N College Ave,Fresno,93704,2020/05/04 06:59:59,0700-1900,,OPTUMServe,Anton Kremer,,OPTUMServe,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,94,36
-13538988.3609,4390666.5095,243,{7BDF4EB6-6F39-4093-97B0-E98998B8CF31},2020/07/10 16:24:50,Monterey,1432 Abbott Street,Salinas,93901,2020/05/26 06:59:59,0800-2000,,OPTUMServe,Karen Smith,,OPTUMServe,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,97,169
-13033843.4793,3856893.4276,244,{FEF3F261-9567-4DFE-A3FA-F4DDEF8641D5},2020/07/10 16:24:50,San Diego,415 Euclid Ave,San Diego,92114,2020/05/19 06:59:59,0700-1900,,OPTUMServe,Angie Durdiev,,OPTUMServe,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,,
-13020223.8487,3867947.8415,245,{BAA5C813-8C2F-4769-BA8C-1AF45D56A0AF},2020/07/10 16:24:51,San Diego,200 S Magnolia Ave,El Cajon,92020,2020/05/19 06:59:59,0700-1900,,OPTUMServe,Angie Durdiev,,OPTUMServe,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,88,106
-13042324.0115,3965444.4435,246,{AF8969BB-1E44-4A73-8F1D-924FA865F6DA},2020/07/10 16:24:51,Riverside,41000 County Center Drive,Temecula,92591,2020/05/26 06:59:59,,,OPTUMServe,Hashish Winstead,,OPTUMServe,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,92,111
-13123489.9466,3994666.8158,247,{E5DB94DC-56AE-4CE4-A02B-36E71218B9C9},2020/07/10 16:24:51,Orange,1618 W 1st St,Santa Ana,92706,2020/05/12 06:59:59,0800-2000,,OPTUMServe,Jessica Hodgeson,,OPTUMServe,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,84,78
-13598651.7669,4534834.047,248,{9112F071-3364-4160-9900-FDD943B049CA},2020/07/10 16:24:52,Alameda,15310 Wicks Blvd,San Leandro,94578,2020/06/11 05:00:00,0800 - 1600,,OPTUMServe,Bridget Satchwell,,OPTUMServe,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,88,176
-12855864.1608,3851897.6632,249,{8732508A-14F1-4324-BA5F-8269BF98F2A6},2020/07/13 13:44:11,Imperial,707 Dool Street,Calexico,92231,2020/07/15 05:00:00,0700-1900,,OPTUMServe,Jeff Lamoure,,OPTUMServe,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fir",(888) 634-1123,,,
-12865194.3075,3874876.7127,250,{099EBBCF-2DCC-4B25-A239-0E3C6F0EDA54},2020/07/10 16:24:52,Imperial,247 S Imperial Ave,Imperial,92251,2020/06/03 05:00:00,0700-1900,,OPTUMServe,Jeff Lamoure,,OPTUMServe,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,95,104
-13098443.0611,3965040.6368,251,{CD5E1663-18E4-4505-86C2-09C1D5F07C8D},2020/07/10 16:24:53,Orange,30230 Rancho Viejo Road,San Jaun Capistrano,92675,2020/05/13 05:00:00,0800-2000,,OPTUMServe,Jessica Hodgeson,,OPTUMServe,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat.",(888) 634-1123,,76,98
-13134350.447,4011347.23,252,{AF324A12-B27D-4D4C-9994-374008ADF688},2020/07/10 16:24:53,Orange,8352 Commonwealth Ave.,Buena Park,90621,2020/05/07 05:00:00,0800-2000,,OPTUMServe,Jessica Hodgeson,,OPTUMServe,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat.",(888) 634-1123,,87,78
-13494830.4806,4691480.4533,253,{B84EFBE0-515C-47A0-840B-86823DE44899},2020/07/10 16:24:53,Placer,4890 Granite Dr,Rocklin,95677,2020/06/08 05:00:00,0700-1900,,OPTUMServe,David Attaway,,OPTUMServe,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,92,164
-13029294.7277,3836450.3266,255,{B6A863CB-4C7A-4C44-B586-BA91A9365CAE},2020/07/10 16:24:54,San Diego,212 W Park Ave,San Ysidro,92173,2020/06/02 05:00:00,0700-1900,,OPTUMServe,Chuck Leichliter,,OPTUMServe,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,86,92
-13430950.6579,4203235.9525,256,{ABB3B745-22AA-4BA6-A996-5F23C0C2F1E2},2020/07/10 16:24:55,San Luis Obispo,801 Grand Ave,San Luis Obispo,93401,2020/06/08 05:00:00,0700-1900,,OPTUMServe,Anita Konopa,,OPTUMServe,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,97,94
-13607630.3758,4590999.0987,258,{E28CC2DA-CAE1-4B06-B84D-DBDE1713BD52},2020/07/10 16:24:56,Solano,545 Magazine Street,Vallejo,94590,2020/06/08 05:00:00,0700-1900,,OPTUMServe,Denise Kirnig,,OPTUMServe,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,80,159
-13471006.6492,4526711.2434,260,{3C7D00DD-7AEC-4592-AF35-E023CAED57C5},2020/07/10 16:24:57,Stanislaus,420 Chicago Ave,Modesto,95351,2020/06/08 05:00:00,0700-1900,,OPTUMServe,Bret Silveira,,OPTUMServe,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,85,162
-13628994.9823,4503805.7779,264,{6A5C47F5-5E64-4F63-B678-D6DF6C6178E9},2020/07/10 16:24:58,San Mateo,600 Church St,Half Moon Bay,94019,2020/06/03 05:00:00,9AM - 3PM,Alternates every two weeks with Redwood City,Verily,Peter Shih,pshih@smcgov.org,,https://www.projectbaseline.com/study/covid-19/,"Wed, Thurs",,,,
